user_genome	is_ani_classification	class_tree_mapped	classification_rule
D023.bin.1	False	4	Rule 2
D023.bin.10	False	6	Rule 2
D023.bin.11	False	5	Rule 2
D023.bin.15	False	3	Rule 2
D023.bin.16	False	1	Rule 2
D023.bin.18	False	4	Rule 2
D023.bin.19	False	5	Rule 2
D023.bin.21	False	4	Rule 2
D023.bin.22	False	7	Rule 2
D023.bin.23	False	3	Rule 2
D023.bin.24	False	4	Rule 2
D023.bin.25	False	7	Rule 2
D023.bin.26	False	7	Rule 2
D023.bin.27	False	4	Rule 2
D023.bin.28	False	5	Rule 2
D023.bin.29	False	5	Rule 2
D023.bin.3	False	6	Rule 2
D023.bin.30	False	4	Rule 2
D023.bin.31	False	7	Rule 2
D023.bin.32	False	4	Rule 2
D023.bin.34	False	1	Rule 2
D023.bin.35	False	1	Rule 2
D023.bin.36	False	3	Rule 2
D023.bin.37	False	7	Rule 2
D023.bin.38	False	7	Rule 2
D023.bin.39	False	5	Rule 2
D023.bin.4	False	5	Rule 2
D023.bin.40	False	4	Rule 2
D023.bin.41	False	4	Rule 2
D023.bin.42	False	3	Rule 2
D023.bin.43	False	3	Rule 2
D023.bin.44	False	4	Rule 2
D023.bin.46	False	7	Rule 2
D023.bin.47	False	5	Rule 2
D023.bin.48	False	5	Rule 2
D023.bin.5	False	7	Rule 2
D023.bin.50	False	7	Rule 2
D023.bin.51	False	5	Rule 2
D023.bin.52	False	7	Rule 2
D023.bin.55	False	7	Rule 2
D023.bin.57	False	4	Rule 2
D023.bin.58	False	7	Rule 2
D023.bin.7	False	4	Rule 2
D023.bin.8	False	6	Rule 2
D023.bin.9	False	7	Rule 2
D093.bin.10	False	1	Rule 2
D093.bin.11	False	3	Rule 2
D093.bin.12	False	4	Rule 2
D093.bin.13	False	5	Rule 2
D093.bin.14	False	7	Rule 2
D093.bin.15	False	7	Rule 2
D093.bin.16	False	7	Rule 2
D093.bin.17	False	7	Rule 2
D093.bin.18	False	1	Rule 2
D093.bin.2	False	1	Rule 2
D093.bin.21	False	1	Rule 2
D093.bin.23	False	6	Rule 2
D093.bin.24	False	4	Rule 2
D093.bin.27	False	4	Rule 2
D093.bin.28	False	4	Rule 2
D093.bin.5	False	4	Rule 2
D093.bin.7	False	5	Rule 2
D093.bin.8	False	3	Rule 2
LB021.bin.10	False	7	Rule 2
LB021.bin.11	False	5	Rule 2
LB021.bin.12	False	4	Rule 2
LB021.bin.14	False	4	Rule 2
LB021.bin.15	False	5	Rule 2
LB021.bin.16	False	4	Rule 2
LB021.bin.17	False	3	Rule 2
LB021.bin.18	False	7	Rule 2
LB021.bin.2	False	5	Rule 2
LB021.bin.20	False	4	Rule 2
LB021.bin.21	False	5	Rule 2
LB021.bin.23	False	4	Rule 2
LB021.bin.24	False	3	Rule 2
LB021.bin.25	False	4	Rule 2
LB021.bin.26	False	backbone	Rule 1
LB021.bin.4	False	5	Rule 2
LB021.bin.5	False	5	Rule 2
LB021.bin.6	False	6	Rule 2
LB021.bin.8	False	6	Rule 2
LB021.bin.9	False	7	Rule 2
LB081.bin.1	False	7	Rule 2
LB081.bin.10	False	4	Rule 2
LB081.bin.13	False	5	Rule 2
LB081.bin.14	False	4	Rule 2
LB081.bin.15	False	7	Rule 2
LB081.bin.16	False	5	Rule 2
LB081.bin.17	False	4	Rule 2
LB081.bin.18	False	3	Rule 2
LB081.bin.19	False	5	Rule 2
LB081.bin.20	False	3	Rule 2
LB081.bin.22	False	5	Rule 3
LB081.bin.23	False	7	Rule 2
LB081.bin.26	False	5	Rule 2
LB081.bin.27	False	4	Rule 2
LB081.bin.29	False	4	Rule 2
LB081.bin.3	False	5	Rule 2
LB081.bin.31	False	1	Rule 2
LB081.bin.33	False	7	Rule 2
LB081.bin.34	False	3	Rule 2
LB081.bin.35	False	3	Rule 2
LB081.bin.39	False	7	Rule 2
LB081.bin.4	False	4	Rule 2
LB081.bin.40	False	7	Rule 2
LB081.bin.44	False	4	Rule 2
LB081.bin.45	False	3	Rule 2
LB081.bin.46	False	7	Rule 2
LB081.bin.47	False	5	Rule 2
LB081.bin.49	False	5	Rule 2
LB081.bin.5	False	6	Rule 2
LB081.bin.50	False	4	Rule 2
LB081.bin.51	False	3	Rule 2
LB081.bin.52	False	6	Rule 2
LB081.bin.53	False	3	Rule 2
LB081.bin.54	False	3	Rule 2
LB081.bin.55	False	7	Rule 2
LB081.bin.56	False	5	Rule 2
LB081.bin.57	False	5	Rule 2
LB081.bin.58	False	7	Rule 2
LB081.bin.59	False	5	Rule 2
LB081.bin.6	False	4	Rule 2
LB081.bin.60	False	6	Rule 2
LB081.bin.7	False	4	Rule 2
LB081.bin.8	False	6	Rule 2
LB081.bin.9	False	7	Rule 2
